id,name
Job_382,لا يوجد
Job_383,موظف مبيعات
Job_384,مشرفة التسميع
Job_385,رئيس وحدة الجودة
Job_386,رئيس وحدة التدقيق
Job_387,منسق علاقات
Job_388,رئيس وحدة الأحصاء
Job_389,رئيس وحدة التسويق
Job_390,رئيس وحدة التخطيط
Job_391,رئيس وحدة التحويل
Job_392,مندوبة معارض
Job_393,رئيس وحدة الاشراف الخارجي
Job_394,رئيسة قسم التاهيل والتدريب السائي
Job_395,رئيسة وحدة شؤون الطالبات
Job_396,أمين مركز
Job_397,منسقة تواصل واستقطاع
Job_398,محاسب وحدة الايرادات
Job_399,محاسبة وحدة مدفوعات القطاعات
Job_400,محاسب وحدة التحويل
Job_401,محاسب وحدة البنوك
Job_402,محاسب وحدة التقارير
Job_403,رئيسة وحدة الشؤون الإدارية
